phase,trade_id,action,entry_time,exit_time,entry_price,exit_price,size,stop_loss,take_profit,pnl,pnl_pct,net_pnl,net_pnl_pct,exit_reason,conviction,regime,reasoning
baseline,BT-202501271600-12,LONG,2025-01-27T16:00:00+00:00,2025-01-27T17:15:00+00:00,101070.8,99049.384,0.05098195,99049.384,106124.34,-103.05572944,-0.02,-112.23801555,-0.0224476,STOP_LOSS,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=17.6, hurst=1.00"
baseline,BT-202501272000-13,LONG,2025-01-27T20:00:00+00:00,2025-01-29T20:15:00+00:00,99660.3,104643.315,0.05066943,97667.094,104643.315,252.48652973,0.05,243.16982728,0.04863397,TAKE_PROFIT,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=17.7, hurst=1.00"
baseline,BT-202502010000-14,LONG,2025-02-01T00:00:00+00:00,2025-02-01T23:00:00+00:00,102379.8,100332.204,0.05178968,100332.204,107498.79,-106.04434161,-0.02,-115.49291366,-0.02309858,STOP_LOSS,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=11.5, hurst=1.00"
baseline,BT-202502020000-15,LONG,2025-02-02T00:00:00+00:00,2025-02-02T11:45:00+00:00,100603.6,98591.528,0.05164997,98591.528,105633.78,-103.92345844,-0.02,-113.18305937,-0.02263661,STOP_LOSS,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=13.0, hurst=1.00"
baseline,BT-202502021200-16,LONG,2025-02-02T12:00:00+00:00,2025-02-02T18:30:00+00:00,98811.5,96835.27,0.00340131,96835.27,103752.075,-6.72177086,-0.02,-7.32068199,-0.00146414,STOP_LOSS,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=18.3, hurst=1.00"
baseline,BT-202502060000-17,SHORT,2025-02-06T00:00:00+00:00,2025-02-06T09:00:00+00:00,96553.2,98484.264,0.05267073,98484.264,91725.54,-101.71055056,-0.02,-110.95605994,-0.02219121,STOP_LOSS,95,BEAR_TREND,"BEAR_TREND: state_conf=1.00, trend_strength=1.00, adx=25.4, hurst=1.00"
baseline,BT-202502061200-18,SHORT,2025-02-06T12:00:00+00:00,2025-02-09T12:00:00+00:00,98826.3,96511.2,0.05043007,100802.826,93884.985,116.75065506,0.02342595,107.88488299,0.02157698,MAX_DURATION,95,BEAR_TREND,"BEAR_TREND: state_conf=0.99, trend_strength=1.00, adx=23.9, hurst=1.00"
baseline,BT-202502130000-19,SHORT,2025-02-13T00:00:00+00:00,2025-02-16T00:00:00+00:00,97816.3,97538.0,0.05214436,99772.626,92925.485,14.51177539,0.00284513,5.34381584,0.00106876,MAX_DURATION,95,BEAR_TREND,"BEAR_TREND: state_conf=0.95, trend_strength=1.00, adx=17.9, hurst=1.00"
baseline,BT-202502160400-20,SHORT,2025-02-16T04:00:00+00:00,2025-02-19T04:00:00+00:00,97504.8,95672.2,0.05245977,99454.896,92629.56,96.1377745,0.01879497,87.01717484,0.01740343,MAX_DURATION,95,BEAR_TREND,"BEAR_TREND: state_conf=1.00, trend_strength=1.00, adx=11.8, hurst=1.00"
baseline,BT-202502191200-21,LONG,2025-02-19T12:00:00+00:00,2025-02-22T12:00:00+00:00,96392.0,96526.5,0.01946259,94464.16,101211.6,2.61771835,0.00139534,-0.76150542,-0.0001523,MAX_DURATION,94,BULL_TREND,"BULL_TREND: state_conf=0.83, trend_strength=1.00, adx=15.7, hurst=1.00"
baseline,BT-202502230400-22,SHORT,2025-02-23T04:00:00+00:00,2025-02-24T23:30:00+00:00,96373.7,91555.015,0.03148631,98301.174,91555.015,151.7226097,0.05,146.39717645,0.02927944,TAKE_PROFIT,95,BEAR_TREND,"BEAR_TREND: state_conf=1.00, trend_strength=1.00, adx=14.3, hurst=1.00"
baseline,BT-202502250400-23,SHORT,2025-02-25T04:00:00+00:00,2025-02-25T10:00:00+00:00,92125.3,87519.035,0.05824196,93967.806,87519.035,268.27790188,0.05,258.86140118,0.05177228,TAKE_PROFIT,95,BEAR_TREND,"BEAR_TREND: state_conf=1.00, trend_strength=1.00, adx=23.7, hurst=1.00"
baseline,BT-202502260400-24,SHORT,2025-02-26T04:00:00+00:00,2025-02-26T18:30:00+00:00,88851.8,84409.21,0.06340711,90628.836,84409.21,281.69179281,0.05,271.80446723,0.05436089,TAKE_PROFIT,95,BEAR_TREND,"BEAR_TREND: state_conf=1.00, trend_strength=1.00, adx=38.9, hurst=1.00"
baseline,BT-202502270800-25,SHORT,2025-02-27T08:00:00+00:00,2025-02-28T01:30:00+00:00,86228.0,81916.6,0.06860332,87952.56,81916.6,295.77635385,0.05,285.39466298,0.05707893,TAKE_PROFIT,95,BEAR_TREND,"BEAR_TREND: state_conf=0.99, trend_strength=1.00, adx=48.9, hurst=1.00"
baseline,BT-202503091200-26,SHORT,2025-03-09T12:00:00+00:00,2025-03-09T22:45:00+00:00,84990.0,80740.5,0.07308276,86689.8,80740.5,310.56518862,0.05,299.66441261,0.05993288,TAKE_PROFIT,92,BEAR_TREND,"BEAR_TREND: state_conf=0.67, trend_strength=1.00, adx=16.8, hurst=1.00"
baseline,BT-202503100800-27,SHORT,2025-03-10T08:00:00+00:00,2025-03-10T09:15:00+00:00,82277.7,83923.254,0.07926654,83923.254,78163.815,-130.43737196,-0.02,-142.29415516,-0.02845883,STOP_LOSS,95,BEAR_TREND,"BEAR_TREND: state_conf=0.85, trend_strength=1.00, adx=26.5, hurst=1.00"
baseline,BT-202503151200-28,LONG,2025-03-15T12:00:00+00:00,2025-03-16T11:30:00+00:00,84054.7,82373.606,0.01870558,82373.606,88257.435,-31.4458383,-0.02,-34.24766879,-0.00684953,STOP_LOSS,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=17.6, hurst=1.00"
baseline,BT-202503161200-29,LONG,2025-03-16T12:00:00+00:00,2025-03-19T12:00:00+00:00,82367.9,83848.5,0.07721437,80720.542,86486.295,114.32359622,0.01797545,102.77275394,0.02055455,MAX_DURATION,95,BULL_TREND,"BULL_TREND: state_conf=0.96, trend_strength=1.00, adx=13.9, hurst=1.00"
baseline,BT-202503211600-30,LONG,2025-03-21T16:00:00+00:00,2025-03-24T10:30:00+00:00,83525.9,87702.195,0.0775126,81855.382,87702.195,323.71548382,0.05,311.77044721,0.06235409,TAKE_PROFIT,95,BULL_TREND,"BULL_TREND: state_conf=0.99, trend_strength=1.00, adx=14.0, hurst=1.00"
baseline,BT-202503262000-31,LONG,2025-03-26T20:00:00+00:00,2025-03-28T11:00:00+00:00,86525.2,84794.696,0.07856699,84794.696,90851.46,-135.96049046,-0.02,-148.07459736,-0.02961492,STOP_LOSS,95,BULL_TREND,"BULL_TREND: state_conf=0.94, trend_strength=1.00, adx=25.9, hurst=1.00"
baseline,BT-202503281200-32,LONG,2025-03-28T12:00:00+00:00,2025-03-29T09:30:00+00:00,85214.0,83509.72,0.0781804,83509.72,89474.7,-133.24129211,-0.02,-145.11311789,-0.02902262,STOP_LOSS,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=21.1, hurst=1.00"
