phase,timestamp,balance,equity,drawdown_pct,open_positions
baseline,2025-06-16T08:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-16T12:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-16T16:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-16T20:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-17T00:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-17T04:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-17T08:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-17T12:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-17T16:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-17T20:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-18T00:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-18T04:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-18T08:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-18T12:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-18T16:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-18T20:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-19T00:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-19T04:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-19T08:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-19T12:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-19T16:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-19T20:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-20T00:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-20T04:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-20T08:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-20T12:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-20T16:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-20T20:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-21T00:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-21T04:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-21T08:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-21T12:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-21T16:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-21T20:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-22T00:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-22T04:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-22T08:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-22T12:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-22T16:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-22T20:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-23T00:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-23T04:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-23T08:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-23T12:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-23T16:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-23T20:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-24T00:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-24T04:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-24T08:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-24T12:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-24T16:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-24T20:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-25T00:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-25T04:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-25T08:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-25T12:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-25T16:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-25T20:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-26T00:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-26T04:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-26T08:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-26T12:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-26T16:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-26T20:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-27T00:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-27T04:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-27T08:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-27T12:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-27T16:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-27T20:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-28T00:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-28T04:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-28T08:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-28T12:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-28T16:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-28T20:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-29T00:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-29T04:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-29T08:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-29T12:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-29T16:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-29T20:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-30T00:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-30T04:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-30T08:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-30T12:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
baseline,2025-06-30T16:00:00+00:00,4751.98909763,4751.98909763,0.06358855,0
